"member","variable","h","point","lo90","hi90","origin_date"
"combo_bma","unemp_rate",2,4.22957521228949,3.84173780907402,4.650873333814,2026-01-01
"combo_bma","unemp_rate",3,4.2783257662358,3.77444962881155,4.82455253678089,2026-01-01
"combo_bma","unemp_rate",4,4.26262209540572,3.62662104265942,4.96310859038051,2026-01-01
"combo_bma","unemp_rate",5,4.26611606240783,3.3773883721971,5.07937851753277,2026-01-01
"combo_bma","unemp_rate",6,4.28726807126176,3.34917555261064,5.04554394332547,2026-01-01
"combo_bma","unemp_rate",7,4.28105897688796,3.29480296058837,5.01539521512927,2026-01-01
"combo_bma","unemp_rate",8,4.33333800360129,3.3085314707657,5.1036247512114,2026-01-01
"combo_bma","unemp_rate",9,4.32732202210577,3.24620014707177,5.32399509903225,2026-01-01
"combo_bma","unemp_rate",10,4.18226609659309,3.00001154342897,5.34324415168418,2026-01-01
"combo_bma","unemp_rate",11,4.311669150624,3.02283512556212,5.33479495784162,2026-01-01
"combo_bma","unemp_rate",12,4.27704520412452,3.07302282176799,5.3506262517206,2026-01-01
"combo_bma","cash_rate",1,3.98729691941868,3.63080299549731,4.37626282506787,2026-01-01
"combo_bma","cash_rate",2,4.13298855658926,3.44778980803203,4.77516280633151,2026-01-01
"combo_bma","cash_rate",3,4.19410539702583,3.40670957623828,5.02895022862679,2026-01-01
"combo_bma","cash_rate",4,4.31809951241043,3.44431189970788,5.47065902870078,2026-01-01
"combo_bma","cash_rate",5,3.81867705880693,2.58365117163854,5.02732955476545,2026-01-01
"combo_bma","cash_rate",6,3.8923863296445,2.57296048654783,5.26989211472795,2026-01-01
"combo_bma","cash_rate",7,3.69335673394751,2.36312102850069,5.31637812272734,2026-01-01
"combo_bma","cash_rate",8,3.93057724813948,2.28534529946581,5.46170828193133,2026-01-01
"combo_bma","cash_rate",9,3.84750882006172,2.21197103368432,5.58304858208412,2026-01-01
"combo_bma","cash_rate",10,3.97250663793978,1.93121784131203,5.50652456792141,2026-01-01
"combo_bma","cash_rate",11,3.94658053655142,2.01111970509339,5.56887087215439,2026-01-01
"combo_bma","cash_rate",12,3.88663950656443,1.98008966847177,5.74033967213184,2026-01-01
"small_minn","gdp_growth",1,0.64972424039346,-0.130506890309289,1.38330744930052,2026-01-01
"small_minn","gdp_growth",2,0.586466008849963,-0.183809226415186,1.4144502403418,2026-01-01
"small_minn","gdp_growth",3,0.641837655563374,-0.19730463879145,1.37338626080717,2026-01-01
"small_minn","gdp_growth",4,0.699130036245143,-0.0404058642653988,1.50923912636332,2026-01-01
"small_minn","gdp_growth",5,0.674698353194302,-0.133388503188514,1.45931178727282,2026-01-01
"small_minn","gdp_growth",6,0.683228371301325,-0.0978069449550919,1.3074326967044,2026-01-01
"small_minn","gdp_growth",7,0.602702900988589,-0.198384887891775,1.41991689158565,2026-01-01
"small_minn","gdp_growth",8,0.60073525757371,-0.112570268090202,1.43361498455121,2026-01-01
