"run","member","window","h","crps","logdens"
"none","ucmean","other_origins",2,0.753542534700966,-Inf
"lp","ucsv","other_origins",2,0.244323124588127,-Inf
"none","ucsv","other_origins",2,0.244323124588127,-Inf
"lp","ar4","covid_origins",3,0.654894479993448,-3.77200249383167
"none","ar4","covid_origins",3,0.704888017078125,-6.00783241458358
"lp","combo_bma","covid_origins",3,0.927546000729852,-3.09211552345271
"none","combo_bma","covid_origins",3,0.957268157935198,-3.2946117737595
"lp","combo_equal","covid_origins",3,0.619285174276183,-1.65252021152791
"none","combo_equal","covid_origins",3,0.636592579701073,-1.81774351037789
"lp","combo_logscore","covid_origins",3,0.752711341194237,-1.83443418792042
"none","combo_logscore","covid_origins",3,0.850593403170299,-2.12122309274026
"lp","combo_pool","covid_origins",3,0.66319669500357,-1.85908749549156
"none","combo_pool","covid_origins",3,0.685724666324753,-2.0242401258543
"lp","medium_conj","covid_origins",3,0.72865281667051,-8.45276060863323
"none","medium_conj","covid_origins",3,0.724973934226996,-9.58934011221292
"lp","medium_minn","covid_origins",3,0.649447359773873,-2.93465502035676
"none","medium_minn","covid_origins",3,0.649447359773873,-2.93465502035676
"lp","rw","covid_origins",3,0.983332285041476,-6.11736224665061
"none","rw","covid_origins",3,0.999815443319907,-4.90231628386407
"lp","small_loose_p5","covid_origins",3,0.663271395947283,-5.15964836730196
"none","small_loose_p5","covid_origins",3,0.713778593544771,-6.04298037293711
"lp","small_minn","covid_origins",3,0.65060630405095,-5.87769694226667
"none","small_minn","covid_origins",3,0.674938459741811,-6.84985412288067
"lp","small_ss","covid_origins",3,0.643436701664617,-6.58739870415364
"none","small_ss","covid_origins",3,0.657745987413932,-6.5079639580888
"lp","small_sv","covid_origins",3,0.638297597053696,-2.83363701668029
"none","small_sv","covid_origins",3,0.638297597053696,-2.83363701668029
"lp","small_tight","covid_origins",3,0.703633968800954,-8.92107872155205
"none","small_tight","covid_origins",3,0.72883146979338,-12.6481292062217
"lp","ucmean","covid_origins",3,1.03077736349615,-3.10935456489437
"none","ucmean","covid_origins",3,1.06870932338466,-4.67301708912479
"lp","ucsv","covid_origins",3,0.770973721170568,-8.37288014189626
"none","ucsv","covid_origins",3,0.770973721170568,-8.37288014189626
"lp","ar4","other_origins",3,0.361047371256158,-Inf
"none","ar4","other_origins",3,0.361726992916685,-Inf
"lp","combo_bma","other_origins",3,0.374230821074073,-2.07964802163096
"none","combo_bma","other_origins",3,0.372181949675208,-2.07867413077433
"lp","combo_equal","other_origins",3,0.329934564338664,-1.81920280357044
"none","combo_equal","other_origins",3,0.335575960051576,-1.84603054836864
"lp","combo_logscore","other_origins",3,0.347393096879889,-1.87200881635929
"none","combo_logscore","other_origins",3,0.363276779463504,-1.92930294916207
"lp","combo_pool","other_origins",3,0.316010203814249,-1.8143704870449
"none","combo_pool","other_origins",3,0.318541450843921,-1.82291859648492
"lp","medium_conj","other_origins",3,0.310639466475394,-Inf
"none","medium_conj","other_origins",3,0.317229833521302,-Inf
"lp","medium_minn","other_origins",3,0.299926215181022,-Inf
"none","medium_minn","other_origins",3,0.299926215181022,-Inf
"lp","rw","other_origins",3,0.337712605228404,-2.67805100202716
"none","rw","other_origins",3,0.352139560502055,-2.70941977253647
"lp","small_loose_p5","other_origins",3,0.358242845329028,-Inf
"none","small_loose_p5","other_origins",3,0.363849232152269,-Inf
"lp","small_minn","other_origins",3,0.321425200680014,-Inf
"none","small_minn","other_origins",3,0.330362321830509,-Inf
"lp","small_ss","other_origins",3,0.335694628275669,-Inf
"none","small_ss","other_origins",3,0.347934998744977,-Inf
"lp","small_sv","other_origins",3,0.340181761175892,-Inf
"none","small_sv","other_origins",3,0.340181761175892,-Inf
"lp","small_tight","other_origins",3,0.321985492699506,-Inf
"none","small_tight","other_origins",3,0.325481822773951,-Inf
"lp","ucmean","other_origins",3,0.813240873285834,-Inf
"none","ucmean","other_origins",3,0.814300483020273,-Inf
"lp","ucsv","other_origins",3,0.322822944551591,-8.80293211025743
"none","ucsv","other_origins",3,0.322822944551591,-8.80293211025743
"lp","ar4","covid_origins",4,0.711415952832116,-3.37720039586815
"none","ar4","covid_origins",4,0.762092422850557,-4.80164462016087
"lp","combo_bma","covid_origins",4,0.950805998967799,-3.09372634348114
"none","combo_bma","covid_origins",4,0.983693976019494,-3.05855228087637
"lp","combo_equal","covid_origins",4,0.672804688053795,-1.73769241792441
"none","combo_equal","covid_origins",4,0.693643329948508,-1.9604248762053
"lp","combo_logscore","covid_origins",4,0.817103224389257,-1.98810410910399
"none","combo_logscore","covid_origins",4,0.905882446495856,-2.34582574011354
"lp","combo_pool","covid_origins",4,0.727383408015595,-2.01356391536118
"none","combo_pool","covid_origins",4,0.748026817738427,-2.24627347116926
"lp","medium_conj","covid_origins",4,0.79524506577302,-10.8788579119495
"none","medium_conj","covid_origins",4,0.79520870404299,-10.7663671041167
"lp","medium_minn","covid_origins",4,0.736390511118659,-3.77665803835768
