"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","medium",63,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",63,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",63,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",63,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",63,"rw",0.0833333333333333
"equal","gdp_growth","medium",63,"ar4",0.0833333333333333
"equal","gdp_growth","medium",63,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",63,"ucmean",0.0833333333333333
"equal","gdp_growth","far",63,"small_minn",0.0833333333333333
"equal","gdp_growth","far",63,"small_ss",0.0833333333333333
"equal","gdp_growth","far",63,"small_sv",0.0833333333333333
"equal","gdp_growth","far",63,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",63,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",63,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",63,"small_tight",0.0833333333333333
"equal","gdp_growth","far",63,"small_unres",0.0833333333333333
"equal","gdp_growth","far",63,"rw",0.0833333333333333
"equal","gdp_growth","far",63,"ar4",0.0833333333333333
"equal","gdp_growth","far",63,"ucsv",0.0833333333333333
"equal","gdp_growth","far",63,"ucmean",0.0833333333333333
"equal","gdp_growth","near",64,"small_minn",0.0833333333333333
"equal","gdp_growth","near",64,"small_ss",0.0833333333333333
"equal","gdp_growth","near",64,"small_sv",0.0833333333333333
"equal","gdp_growth","near",64,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",64,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",64,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",64,"small_tight",0.0833333333333333
"equal","gdp_growth","near",64,"small_unres",0.0833333333333333
"equal","gdp_growth","near",64,"rw",0.0833333333333333
"equal","gdp_growth","near",64,"ar4",0.0833333333333333
"equal","gdp_growth","near",64,"ucsv",0.0833333333333333
"equal","gdp_growth","near",64,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",64,"small_minn",0.0833333333333333
